player,year,1st_in,1st_won,2nd_won,bp_saved,v1st_won,v2nd_won,bp_cnvt,hld_rate,brk_rate
Malak Jasim Fardan,2016,50.0,17.69,10.51,19.64,17.05,27.5,0.0,0.0,0.0
Man Ying Maggie Ng,2016,58.83,68.25,56.76,31.82,45.09,59.22,40.79,77.21,54.23
Mandy Minella,2016,62.99,62.19,46.32,52.87,35.78,56.42,46.77,63.37,38.18
Maram Mohamed Sharif,2016,54.88,16.91,4.79,9.53,8.03,25.05,33.33,-5.56,4.76
Marcela Zacarias,2016,74.19,47.83,37.5,33.33,27.27,56.0,30.0,40.0,30.0
Margarita Gasparyan,2016,61.03,63.55,39.5,53.48,36.77,59.12,46.19,58.59,35.78
Maria Fernanda Alves,2016,71.7,52.63,33.33,33.33,29.03,36.67,25.0,50.0,11.11
Maria Irigoyen,2016,64.74,43.52,37.09,47.65,27.34,52.3,24.17,25.4,20.83
Maria Mateas,2016,72.41,54.76,18.75,33.33,32.56,52.94,33.33,40.0,22.22
Maria Sakkari,2016,70.84,59.33,40.87,50.93,36.39,54.52,38.33,57.91,34.48
Maria Sharapova,2016,56.17,77.4,45.58,42.67,42.79,60.26,38.33,76.09,49.3
Maria Teresa Torro Flor,2016,62.92,50.78,37.34,55.08,31.37,48.75,45.24,43.75,19.64
Mariana Duque Marino,2016,57.35,64.34,43.83,49.72,33.23,49.44,38.38,62.56,25.45
Marina Erakovic,2016,64.68,61.74,44.54,51.76,37.95,53.36,47.31,61.33,35.57
Marina Melnikova,2016,67.06,47.75,36.14,29.7,30.18,51.08,40.83,30.16,21.85
Marine Partaud,2016,68.42,50.0,8.33,28.57,39.39,23.81,25.0,28.57,12.5
Marketa Vondrousova,2016,56.36,69.93,51.96,76.39,29.38,50.6,35.72,82.64,27.78
Martina Capurro Taborda,2016,63.16,50.0,50.0,60.0,8.33,50.0,0.0,50.0,0.0
Maryna Zanevska,2016,54.99,57.32,34.68,58.5,43.52,48.67,36.76,34.76,33.33
Mayka Zima,2016,46.46,43.75,46.32,50.0,58.22,68.34,54.16,50.0,64.28
Medhira Samarasinghe,2016,70.37,44.74,31.25,33.33,32.0,41.18,50.0,25.0,25.0
Mia Nicole Eklund,2016,53.42,54.48,40.05,45.56,27.03,44.99,31.82,47.06,19.44
Michelle Larcher De Brito,2016,69.94,59.3,41.66,55.0,31.94,48.34,30.0,56.82,30.0
Milka Emilia Pasanen,2016,41.18,57.14,50.0,42.86,23.81,57.58,25.0,60.0,18.18
Mira Antonitsch,2016,54.1,60.61,39.29,44.44,39.02,33.33,40.0,44.44,20.0
Mirjana Lucic,2016,55.18,64.73,41.7,43.36,41.43,55.54,52.66,60.08,44.26
Misa Eguchi,2016,73.14,68.19,52.41,32.24,48.24,59.24,47.81,73.43,53.72
Misaki Doi,2016,58.86,61.54,46.58,55.62,33.46,53.84,39.89,65.78,28.52
Miyu Kato,2016,66.04,52.51,41.27,27.08,34.51,55.85,51.49,46.2,34.11
Mona Barthel,2016,52.3,63.21,41.63,47.35,32.75,54.24,41.39,67.08,22.63
Monica Malinen,2016,64.44,44.83,18.75,33.33,18.18,53.33,16.67,14.29,14.29
Monica Niculescu,2016,68.41,55.18,42.27,42.32,45.33,61.45,48.11,59.8,47.3
Monica Puig,2016,62.24,64.92,51.09,57.59,36.5,58.38,48.41,71.44,38.79
Montserrat Gonzalez,2016,54.61,65.16,40.11,63.76,29.33,59.33,42.8,58.49,33.75
Myrtille Georges,2016,63.4,49.78,34.39,37.5,32.56,57.84,29.41,46.43,38.46
Na Lae Han,2016,44.42,41.26,39.73,39.58,27.14,43.96,55.0,28.47,25.0
Nadia Echeverria Alam,2016,48.0,58.33,26.92,44.44,20.0,20.0,0.0,28.57,0.0
Nadia Podoroska,2016,62.52,58.55,35.49,33.94,32.01,49.05,21.24,46.67,13.17
Nadiya Kichenok,2016,56.45,60.0,44.44,20.0,17.24,48.28,50.0,60.0,20.0
Nao Hibino,2016,65.56,57.45,48.83,50.28,34.26,52.29,49.02,59.57,31.13
Naomi Broady,2016,56.2,70.74,40.8,50.14,26.28,45.71,32.59,66.03,19.71
Naomi Osaka,2016,55.24,69.62,48.3,53.1,34.99,55.63,51.54,72.42,36.91
Natalia Vikhlyantseva,2016,61.79,68.83,42.46,26.19,32.28,55.37,46.82,63.69,32.1
Nazli Nader Redha,2016,48.43,24.17,15.49,8.57,10.94,41.35,0.0,0.0,0.0
Nelli Buyuklianova,2016,66.63,44.75,26.31,45.02,32.72,40.03,34.44,23.17,26.86
Nethmi Himashi Waduge,2016,51.93,40.69,33.38,26.66,34.55,55.58,36.64,24.84,30.09
Nicha Lertpitaksinchai,2016,69.49,50.73,61.36,70.0,33.1,45.84,51.78,57.14,29.16
Nicole Gibbs,2016,61.13,61.88,42.49,46.91,37.14,56.18,48.16,61.53,38.93
Nigina Abduraimova,2016,58.17,69.09,47.08,21.43,19.12,39.86,25.0,70.0,16.66
Nina Stojanovic,2016,63.49,55.0,34.78,37.5,32.0,57.14,33.33,44.44,22.22
Nurin Nabilah Roslan,2016,74.28,38.58,33.08,34.92,32.77,40.52,21.88,30.0,38.89
Oceane Dodin,2016,56.48,69.71,41.46,42.08,32.15,55.0,39.36,68.42,26.64
Olesya Pervushina,2016,52.17,62.5,40.91,25.0,22.0,57.58,100.0,57.14,23.08
Olga Fridman,2016,72.73,54.17,40.74,46.15,41.57,40.91,26.67,56.25,25.0
Olga Govortsova,2016,64.22,56.99,37.02,46.67,32.84,54.01,46.95,47.77,28.16
Olga Savchuk,2016,56.78,61.52,54.78,56.25,28.12,41.9,27.28,65.0,20.0
Ons Jabeur,2016,58.65,51.76,45.32,44.12,24.17,45.86,53.85,49.11,22.32
Patricia Maria Tig,2016,58.44,60.59,43.46,52.1,38.11,48.11,41.5,57.89,33.06
Patty Schnyder,2016,58.18,54.69,41.3,66.67,46.97,60.47,57.14,46.67,53.33
Paula Badosa,2016,62.04,60.24,52.39,52.39,22.87,46.73,29.17,63.74,16.67
Paula Cristina Goncalves,2016,52.97,71.05,45.51,47.61,41.13,51.42,50.01,72.85,37.1
Paula Kania,2016,62.6,56.97,43.67,48.24,27.65,49.18,43.55,56.54,21.47
Paulina Bakaite,2016,57.3,51.62,28.41,44.7,33.83,40.23,55.55,36.51,17.22
Pauline Parmentier,2016,58.03,62.4,47.03,55.34,37.9,51.85,46.12,62.33,34.19
Peangtarn Plipuech,2016,58.82,76.67,33.33,25.0,21.62,27.27,0.0,66.67,0.0
Pei Chi Lee,2016,48.0,62.5,42.31,50.0,17.65,39.13,0.0,62.5,0.0
Petra Cetkovska,2016,57.88,49.31,34.23,34.72,23.48,28.77,0.0,37.78,0.0
Petra Kvitova,2016,61.96,70.27,51.3,52.99,39.06,56.72,48.03,76.56,39.97
Petra Martic,2016,66.02,62.75,47.52,57.17,30.62,51.71,40.43,65.51,25.66
Polina Leykina,2016,57.61,56.44,39.91,54.16,36.07,48.1,36.92,45.3,33.17
Polona Hercog,2016,58.5,58.99,42.64,45.21,37.83,50.94,52.99,55.62,36.43
Priscilla Hon,2016,61.58,55.58,34.26,32.72,27.92,56.7,41.66,37.14,16.25
Qiang Wang,2016,59.51,57.81,40.82,48.08,39.45,52.29,40.5,62.09,32.03
Rebecca Peterson,2016,68.43,61.42,41.72,48.72,34.97,50.15,45.92,56.59,31.04
Rebeka Masarova,2016,61.9,61.03,47.1,48.51,40.13,51.18,64.88,60.66,38.54
Reka Luca Jani,2016,70.57,58.24,38.99,49.08,37.77,58.26,46.51,51.15,38.89
Renata Zarazua,2016,77.42,50.0,50.0,63.64,41.89,51.28,60.0,52.94,35.29
Richel Hogenkamp,2016,55.32,62.71,47.44,59.62,35.31,58.07,52.09,63.06,39.72
Risa Ozaki,2016,68.82,58.61,49.71,53.31,40.46,53.79,48.74,60.68,40.71
Roberta Vinci,2016,60.37,62.98,45.24,51.15,35.57,53.29,45.28,64.08,33.3
Romina Oprandi,2016,70.47,56.28,44.58,49.36,26.0,51.23,22.22,60.75,12.73
Sabina Sharipova,2016,53.79,56.34,42.62,66.67,31.82,66.07,61.54,50.0,44.44
Sabine Lisicki,2016,56.92,66.49,45.14,52.32,33.36,55.57,48.59,66.86,33.23
Sachia Vickery,2016,56.78,59.89,48.19,57.96,37.17,54.56,41.4,62.5,33.86
Sadaf Sadeghvaziri,2016,60.42,52.33,32.03,32.25,32.06,55.0,37.14,28.09,22.86
Saisai Zheng,2016,64.1,56.26,46.22,49.53,38.43,55.92,49.25,54.26,37.24
Samantha Crawford,2016,53.68,67.58,43.34,54.96,30.98,49.92,40.5,63.5,25.85
Samantha Stosur,2016,57.74,61.84,44.44,51.39,37.21,53.3,40.26,70.87,26.65
Sanaz Marand,2016,64.0,47.92,51.85,55.56,25.53,55.56,60.0,60.0,27.27
Sandra Samir,2016,61.89,57.7,45.51,36.31,45.98,51.07,43.44,56.66,47.92
Sara Amiri,2016,50.36,63.35,33.52,20.36,47.36,72.14,59.17,48.51,60.12
Sara Errani,2016,83.35,51.83,42.37,50.29,42.06,58.96,50.84,54.1,44.12
Sara Mansoor,2016,55.82,40.55,42.44,32.39,32.05,41.1,34.33,24.13,28.12
Sara Sorribes Tormo,2016,58.23,56.01,38.89,41.31,41.07,52.25,53.47,42.43,44.39
Sarah Mahboob Khan,2016,47.09,64.76,43.59,65.15,50.07,50.07,66.67,47.62,42.26
Serena Williams,2016,61.52,77.0,50.95,50.57,41.45,59.96,51.19,83.4,46.38
Sesil Karatantcheva,2016,56.65,58.12,31.64,45.1,34.64,56.76,46.43,37.5,34.84
Shelby Rogers,2016,59.53,63.97,49.95,52.76,34.96,55.95,52.64,67.53,35.27
Sherazad Reix,2016,62.02,61.68,46.5,49.84,39.62,50.05,59.81,64.24,31.51
Shilin Xu,2016,57.32,59.16,34.36,23.08,25.84,45.16,25.0,48.08,26.92
Shuai Peng,2016,54.5,54.76,40.81,50.29,37.72,54.7,36.09,66.88,23.27
Shuai Zhang,2016,64.22,57.55,46.73,48.09,40.51,57.12,56.87,60.83,39.44
Silvia Soler Espinosa,2016,67.07,59.94,46.38,55.75,34.12,60.35,42.75,58.13,33.16
Simona Halep,2016,65.87,63.99,50.56,47.38,42.44,61.12,52.8,70.46,49.34
Sloane Stephens,2016,65.65,64.25,48.58,49.01,38.4,52.37,46.93,70.51,37.26
So Ra Lee,2016,52.17,52.78,54.55,50.0,26.47,41.67,100.0,60.0,11.11
Sofia Kenin,2016,72.86,60.78,21.05,55.56,21.43,50.0,14.29,55.56,10.0
Sofia Shapatava,2016,58.45,65.9,35.54,50.2,37.62,57.3,35.8,65.36,35.62
Sofya Zhuk,2016,63.64,48.57,50.0,37.5,28.57,31.58,0.0,37.5,0.0
Sorana Cirstea,2016,58.21,60.05,46.38,44.0,36.56,58.6,46.02,61.47,37.59
Stefanie Tan,2016,76.34,63.09,54.4,66.89,53.12,68.07,70.0,76.35,71.55
Stefanie Voegele,2016,56.78,61.1,42.5,48.58,36.79,51.76,43.78,55.8,35.83
Steffi Carruthers,2016,57.78,50.99,34.98,51.82,43.8,51.39,42.68,41.69,43.46
Stephanie Vogt,2016,58.66,56.55,45.26,37.29,34.15,52.67,49.94,52.33,34.33
Storm Sanders,2016,59.86,59.07,30.17,35.42,22.12,52.27,75.0,50.0,16.66
Su Jeong Jang,2016,64.68,59.19,37.16,53.67,38.02,48.77,41.17,52.62,32.4
Su Wei Hsieh,2016,58.53,61.51,47.92,48.69,34.1,55.9,43.82,63.69,34.8
Susanne Celik,2016,61.11,48.48,23.81,45.45,43.59,35.0,25.0,25.0,25.0
Svetlana Kuznetsova,2016,63.54,63.91,42.9,49.75,40.79,57.52,47.59,68.94,39.22
Tamira Paszek,2016,62.33,54.42,40.05,41.69,40.83,59.92,48.65,57.1,38.69
Tammi Patterson,2016,63.8,57.26,36.23,58.34,10.51,51.76,0.0,45.54,0.0
Tara Moore,2016,58.48,67.98,44.71,55.92,37.13,52.92,40.95,70.15,35.94
Tatjana Maria,2016,59.89,59.48,44.34,48.29,35.06,42.28,50.09,54.79,25.85
Taylor Townsend,2016,60.11,65.49,43.44,59.97,33.34,48.22,41.67,60.12,30.56
Teliana Pereira,2016,66.62,53.31,40.17,42.48,32.27,47.09,38.5,45.06,22.76
Tena Lukas,2016,52.38,51.52,33.33,33.33,40.91,55.56,23.08,40.0,30.0
Tereza Martincova,2016,68.04,56.66,44.05,44.94,34.87,49.5,53.28,56.86,32.27
Tereza Mrdeza,2016,69.84,60.78,33.45,50.0,40.24,58.92,67.36,58.34,47.3
Tereza Smitkova,2016,63.24,64.53,34.7,67.5,33.93,43.99,31.25,57.94,19.37
Tessah Andrianjafitrimo,2016,69.05,34.48,23.08,25.0,17.24,63.64,0.0,0.0,0.0
Theiviya Selvarajoo,2016,61.02,61.11,50.62,54.71,44.9,61.03,52.8,68.4,55.73
Timea Babos,2016,62.27,66.56,46.23,51.67,37.14,51.42,45.42,69.85,36.15
Timea Bacsinszky,2016,68.02,61.41,47.31,46.69,39.64,56.46,43.21,65.35,40.3
Tsvetana Pironkova,2016,59.76,63.53,46.83,45.88,42.12,55.62,51.45,64.04,43.63
Urszula Radwanska,2016,58.31,52.67,49.64,30.9,39.96,53.71,43.83,51.93,39.54
Ushna Suhail,2016,62.09,53.97,44.38,12.38,50.03,61.25,65.81,45.72,53.69
Usue Maitane Arconada,2016,58.14,56.92,52.34,61.9,39.77,57.78,49.1,61.82,39.39
Valeria Solovieva,2016,62.69,50.0,44.0,45.45,40.48,50.0,33.33,45.45,36.36
Valeriya Strakhova,2016,64.81,48.57,26.32,25.0,34.38,56.67,50.0,33.33,40.0
Vania King,2016,63.12,64.17,43.82,58.85,38.01,54.58,47.98,66.0,35.54
Varatchaya Wongteanchai,2016,66.67,40.62,43.75,54.55,22.22,70.0,0.0,28.57,0.0
Varvara Flink,2016,63.9,64.33,42.52,54.16,40.56,37.14,30.56,64.78,22.34
Varvara Lepchenko,2016,64.5,63.27,45.73,53.47,36.71,50.54,43.4,65.44,32.32
Venus Williams,2016,61.41,65.22,48.25,52.42,39.91,58.44,51.84,67.3,43.4
Vera Lapko,2016,59.72,55.81,37.93,58.33,34.38,52.0,100.0,44.44,22.22
Veronica Cepede Royg,2016,67.76,59.48,47.41,39.57,37.69,54.15,49.71,63.06,35.34
Victoria Azarenka,2016,61.57,68.4,43.23,55.05,45.95,69.12,48.88,81.53,52.04
Victoria Duval,2016,65.42,53.31,23.06,29.06,24.2,43.89,53.7,39.81,12.17
Victoria Rodriguez,2016,74.67,46.74,41.47,26.66,30.9,53.53,75.0,35.84,29.16
Viktorija Golubic,2016,65.54,56.2,49.01,46.28,40.43,61.2,44.56,64.51,40.13
Virginie Razzano,2016,64.65,62.78,37.82,49.2,40.34,51.05,55.4,56.43,41.25
Vitalia Diatchenko,2016,55.38,50.68,29.08,51.28,25.69,52.18,87.88,22.86,26.19
Wushuang Zheng,2016,61.9,53.85,33.33,44.44,23.08,42.86,33.33,44.44,12.5
Xiaodi You,2016,50.0,45.45,27.27,25.0,17.86,63.64,20.0,25.0,14.29
Xinyun Han,2016,60.7,61.86,39.98,47.13,39.44,53.0,45.68,58.35,41.63
Ya Hsuan Lee,2016,63.01,55.17,37.14,41.67,33.54,56.09,40.28,46.24,30.42
Yafan Wang,2016,57.57,61.07,45.05,38.48,35.21,53.72,39.1,57.38,33.28
Yanina Wickmayer,2016,62.8,65.46,44.54,45.01,33.76,53.83,48.85,67.31,32.61
Yaroslava Shvedova,2016,60.33,66.46,44.38,55.11,34.39,54.7,47.88,67.29,33.51
Yee Loon Goh,2016,54.17,38.46,31.82,50.0,42.31,52.17,18.18,0.0,28.57
Yi Fan Xu,2016,62.76,50.56,30.52,19.44,29.84,46.96,68.75,36.93,18.75
Ying Ying Duan,2016,65.9,65.87,43.0,53.06,31.19,54.87,43.86,68.1,30.82
Ying Zhang,2016,51.48,71.41,52.58,62.5,28.03,53.26,50.0,83.34,25.0
Ysaline Bonaventure,2016,52.3,60.46,46.31,42.5,28.36,53.38,41.56,59.84,19.69
Yulia Putintseva,2016,69.89,59.36,48.49,53.96,40.9,56.26,49.42,63.17,42.86
Yuliana Lizarazo,2016,68.12,57.45,40.91,42.86,29.73,45.45,20.0,60.0,11.11
Yuxuan Zhang,2016,51.82,66.0,39.24,49.58,36.58,58.15,55.54,56.56,36.61
Zarina Diyas,2016,70.34,60.52,41.6,48.47,36.78,54.14,49.85,60.0,35.66
Zhaoxuan Yang,2016,63.1,57.04,37.29,47.78,22.78,60.99,46.67,50.66,30.38
Abigail Tere Apisah,2017,53.87,66.57,45.53,60.74,39.37,72.94,50.99,63.89,66.35
Adriana Perez,2017,62.41,69.61,50.26,73.08,37.69,57.81,63.64,83.81,35.03
Agnes Bukta,2017,71.15,64.86,66.67,75.0,47.22,59.09,62.5,88.89,62.5
Agnieszka Radwanska,2017,61.76,64.9,45.75,51.07,39.54,56.91,46.73,74.02,31.43
Aigerim Akzhol Kyzy,2017,43.46,35.52,25.05,18.26,15.22,34.52,14.28,0.0,12.5
Ajla Tomljanovic,2017,58.06,61.16,36.86,45.69,33.94,53.09,39.54,61.67,27.21
Akgul Amanmuradova,2017,68.82,55.07,16.66,50.0,38.12,51.25,50.0,40.48,33.34
Akiko Omae,2017,69.05,58.62,30.77,50.0,28.57,43.75,0.0,42.86,0.0
Aldila Sutjiadi,2017,55.94,60.56,58.12,33.34,52.59,70.24,78.75,64.59,87.5
Alejandra Obando,2017,68.38,36.11,16.34,18.26,22.62,37.88,25.0,0.0,12.5
Aleksandra Krunic,2017,63.97,63.5,49.43,46.65,40.5,59.14,50.83,69.08,41.03
Aleksandra Wozniak,2017,59.72,53.49,44.83,40.0,33.33,37.5,60.0,45.45,27.27
Aleksandrina Naydenova,2017,51.92,25.93,44.0,41.67,39.53,50.0,42.86,22.22,37.5
Alexa Glatch,2017,52.56,56.1,48.65,50.0,35.71,43.48,75.0,58.33,27.27
Alexa Guarachi,2017,61.54,60.0,32.0,50.0,18.75,57.14,30.0,54.55,27.27
Alexandra Cadantu Ignatik,2017,71.79,55.17,36.35,41.66,46.68,62.96,64.49,50.03,53.72
Alexandra Dulgheru,2017,84.41,60.09,59.94,51.28,39.06,57.27,55.37,72.62,46.82
Alexandra Panova,2017,62.22,46.43,41.18,28.57,37.7,54.55,11.11,37.5,12.5
Aliaksandra Sasnovich,2017,64.45,61.02,44.68,45.53,36.02,56.18,46.34,67.89,30.72
Alina Lazareva,2017,51.48,46.08,8.34,29.16,30.34,43.06,16.66,0.0,7.14
Alison Riske Amritraj,2017,67.97,62.14,43.75,49.4,34.58,54.52,44.09,68.14,29.76
Alison Van Uytvanck,2017,52.91,64.06,49.09,55.8,36.85,55.18,37.87,84.78,23.2
Alize Cornet,2017,63.51,60.59,41.81,53.32,40.22,56.31,49.89,65.76,35.27
Alize Lim,2017,53.25,58.54,36.11,64.29,25.0,41.18,100.0,100.0,0.0
Alla Kudryavtseva,2017,59.58,55.13,44.23,42.28,34.94,53.69,51.66,45.42,34.44
Allie Kiick,2017,50.0,45.0,15.0,30.0,34.62,60.0,100.0,100.0,0.0
Alyssa Mayo,2017,47.37,27.78,20.0,12.5,35.48,45.83,28.57,0.0,28.57
Amanda Anisimova,2017,56.48,58.86,38.89,56.06,40.22,55.34,46.07,76.92,16.66
Amandine Hesse,2017,57.61,55.54,41.36,27.92,27.44,51.4,21.23,82.5,15.0
Amra Sadikovic,2017,58.89,75.19,54.23,69.05,28.99,40.78,7.14,84.92,5.88
Ana Biskic,2017,62.0,54.84,10.53,50.0,16.67,46.67,50.0,14.29,14.29
Ana Bogdan,2017,59.45,63.98,46.86,57.07,32.67,55.11,49.79,79.61,22.43
Ana Konjuh,2017,57.33,67.3,44.82,51.48,35.12,55.45,52.01,74.73,31.35
Anastasia Iamachkine,2017,63.53,61.11,45.16,50.0,52.38,41.94,41.67,66.67,45.45
Anastasia Pavlyuchenkova,2017,62.41,65.1,45.97,56.77,37.76,56.73,43.63,71.46,35.86
Anastasia Potapova,2017,45.24,47.37,39.13,37.5,27.27,76.19,50.0,100.0,0.0
Anastasia Rodionova,2017,65.67,58.07,52.65,39.96,48.52,57.97,62.22,62.31,51.39
Anastasija Sevastova,2017,61.19,63.38,47.87,47.67,39.35,55.58,52.29,73.1,31.87
Anastasiya Tursunova,2017,43.28,68.65,36.85,62.59,39.25,67.15,57.8,52.39,56.22
Andrea Gamiz,2017,65.76,57.82,42.64,42.17,40.05,61.77,35.76,55.42,44.41
Andrea Hlavackova,2017,57.66,65.32,50.74,53.85,23.7,53.23,40.0,64.4,11.31
Andrea Petkovic,2017,68.76,57.46,41.82,47.4,39.03,56.61,46.66,59.55,37.05
Anett Kontaveit,2017,63.98,68.9,48.08,51.22,37.08,56.64,43.46,77.65,33.51
Angelique Kerber,2017,65.9,64.57,47.86,49.74,35.86,56.0,43.08,74.42,29.88
Ankita Raina,2017,66.07,57.66,38.13,55.7,33.04,46.93,27.38,44.71,20.36
Anna Blinkova,2017,53.36,60.17,38.21,38.77,31.19,48.1,40.83,57.52,18.83
Anna Clarice Patrimonio,2017,63.93,53.85,18.18,45.45,31.82,42.86,100.0,25.0,25.0
Anna Kalinskaya,2017,62.44,62.86,42.75,36.2,34.73,54.61,35.15,60.92,32.14
Anna Karolina Schmiedlova,2017,55.77,51.72,30.43,50.0,31.43,33.33,33.33,37.5,12.5
Anna Lena Friedsam,2017,66.23,50.98,50.0,61.54,44.44,35.14,66.67,50.0,20.0
Anna Tatishvili,2017,59.18,55.0,28.84,41.66,25.56,35.92,11.54,29.36,15.0
Anna Zaja,2017,63.32,69.31,43.24,35.42,25.38,46.68,26.25,82.74,14.73
Anneliese Rose,2017,76.26,27.29,24.28,33.34,24.72,40.58,30.0,0.0,18.75
Annika Beck,2017,72.33,50.15,42.23,41.16,34.27,52.86,47.09,53.19,32.56
Antonia Lottner,2017,71.53,56.16,38.12,48.92,34.36,54.13,54.8,54.69,24.8
Arantxa Rus,2017,66.64,65.08,45.62,51.24,36.99,54.45,34.43,70.08,34.39
Aranza Lailu Benitez Ellis,2017,46.67,42.86,6.25,28.57,15.0,21.43,0.0,16.67,0.0
Ariana Rahmanparast,2017,58.53,61.91,58.66,47.8,54.95,77.52,60.22,73.96,79.16
Arina Rodionova,2017,68.45,58.99,46.9,44.83,33.89,57.39,33.96,69.67,21.68
Aryna Sabalenka,2017,58.61,69.38,45.72,58.12,35.18,54.94,50.96,74.03,33.37
Ashleigh Barty,2017,60.86,71.84,49.4,56.2,37.71,54.46,50.28,80.31,35.36
Ashley Kratzer,2017,59.57,35.71,31.58,53.85,20.0,43.48,100.0,100.0,0.0
Asia Muhammad,2017,62.74,66.63,43.28,47.11,30.48,48.62,57.33,65.33,21.52
Aslina Chua,2017,57.46,62.46,35.47,51.54,30.27,46.84,31.82,47.22,38.89
Astrid Wanja Brune Olsen,2017,60.0,55.56,47.62,40.0,45.88,57.14,33.33,62.5,53.33
Ayla Aksu,2017,55.56,65.87,37.24,74.58,33.36,62.38,68.75,53.75,39.58
Aymet Uzcategui,2017,60.53,54.35,40.0,33.33,21.57,72.41,42.86,50.0,23.08
Barbara Gatica,2017,66.5,55.18,32.56,47.84,27.42,42.18,40.72,39.49,15.62
Barbara Haas,2017,67.09,61.05,43.7,54.28,38.92,58.54,53.04,65.38,46.38
Barbora Krejcikova,2017,54.16,58.07,37.63,52.24,48.0,59.85,32.64,66.61,37.62
Barbora Stefkova,2017,65.28,58.52,36.42,41.66,38.75,53.02,49.21,51.25,32.29
Barbora Strycova,2017,65.52,62.64,47.09,53.62,40.42,56.12,52.43,70.09,38.4
Basak Eraydin,2017,63.32,61.19,45.68,33.68,42.07,66.32,51.52,64.14,55.73
Beatrice Gumulya,2017,50.64,73.82,42.58,51.77,38.0,62.58,50.0,67.46,50.79
Beatriz Haddad Maia,2017,68.09,65.71,47.94,55.1,36.43,52.5,43.64,79.14,28.06
Belinda Bencic,2017,61.08,65.23,43.61,57.58,28.09,51.57,47.39,63.71,25.56
Bernarda Pera,2017,55.67,53.7,32.56,30.77,41.51,61.54,40.0,30.77,46.15
Bethanie Mattek Sands,2017,55.21,61.78,45.63,57.29,34.38,59.33,48.34,74.8,20.52
Bianca Andreescu,2017,58.24,66.85,53.16,44.14,37.86,59.91,56.08,77.98,39.74
Bianca Botto,2017,53.85,76.19,61.11,100.0,80.0,55.56,54.55,100.0,100.0
Breana Stampfli,2017,59.19,55.29,38.06,42.59,50.1,55.2,47.2,44.55,52.88
Brienne Minor,2017,51.67,51.61,34.48,30.0,35.14,56.0,60.0,100.0,0.0
Cagla Buyukakcay,2017,72.54,51.67,47.56,46.97,31.33,52.67,43.87,56.57,23.15
Camila Giorgi,2017,56.0,64.78,47.55,48.27,34.99,54.13,44.11,74.91,27.2
Camila Osorio,2017,59.7,55.03,47.76,38.3,36.22,57.12,36.14,51.56,36.46
Camila Romero,2017,51.61,72.56,37.71,16.67,41.78,69.74,88.89,53.97,70.83
Carina Witthoeft,2017,67.8,63.17,47.26,53.08,38.37,55.03,43.09,75.49,30.89
Carla Suarez Navarro,2017,68.97,61.2,46.56,51.36,41.11,57.11,48.21,74.49,35.93
Carol Young Suh Lee,2017,45.28,75.0,41.38,60.0,41.18,77.78,50.0,75.0,75.0
Carol Zhao,2017,56.32,71.43,50.0,0.0,29.17,39.53,75.0,73.33,20.0
Caroline Dolehide,2017,44.37,51.63,45.94,36.17,42.15,67.36,36.33,80.09,22.39
Caroline Garcia,2017,63.81,67.12,50.2,52.82,35.57,53.5,43.86,78.68,27.99
Caroline Wozniacki,2017,66.71,65.0,48.85,55.74,42.19,59.86,51.37,77.27,40.42
Catalina Pella,2017,57.5,57.56,46.18,50.46,27.11,48.21,55.13,50.7,22.14
Catherine Cartan Bellis,2017,59.48,63.79,44.56,56.37,32.64,55.85,49.29,69.89,27.95
Chanel Simmonds,2017,74.81,47.94,35.84,40.55,24.24,45.14,52.08,41.84,16.29
Chang Liu,2017,63.04,55.17,29.41,40.0,47.76,53.85,54.55,50.0,50.0
Charlotte Robillard Millette,2017,61.32,70.85,32.89,16.66,26.39,40.0,0.0,66.67,0.0
Charmaine Shi Yi Seah,2017,51.3,61.02,48.21,54.55,49.15,54.9,44.44,66.67,57.14
Cherise Slocombe,2017,60.26,49.71,34.71,42.59,31.28,47.86,36.11,35.08,17.5
Chia Jung Chuang,2017,57.54,64.46,41.84,19.64,45.64,48.5,47.22,55.0,45.0
Chieh Yu Hsu,2017,62.0,41.94,47.37,37.5,23.68,50.0,0.0,28.57,0.0
Chloe Paquet,2017,50.58,62.38,37.79,45.19,29.0,54.93,69.45,70.83,9.52
Christina Mchale,2017,60.25,62.7,43.32,57.17,38.13,54.24,51.05,64.69,33.75
Cindy Burger,2017,49.45,67.76,36.23,25.92,27.22,58.39,40.74,55.56,29.58
Claire Liu,2017,63.83,54.06,35.34,53.74,42.48,53.22,58.18,73.34,23.34
Claudine Schaul,2017,55.88,52.63,30.0,58.33,38.89,57.69,42.86,44.44,30.0
Coco Vandeweghe,2017,54.28,74.5,50.88,58.48,35.37,52.48,43.52,83.37,26.28
Conny Perrin,2017,59.45,58.35,37.31,47.69,31.95,42.7,49.84,53.01,21.22
Cornelia Lister,2017,64.96,66.65,41.65,45.74,30.7,46.76,35.56,68.07,19.92
Dalila Jakupovic,2017,61.26,67.71,47.24,60.17,41.6,64.08,43.8,69.1,48.41
Dalma Galfi,2017,56.82,60.26,33.94,41.67,30.19,44.55,26.19,48.41,21.9
Daniela Hantuchova,2017,62.86,70.43,36.38,55.56,43.85,53.92,38.65,74.76,48.06
Daniela Obando,2017,84.09,54.05,28.57,53.85,41.38,71.05,58.33,53.85,53.85
Daniela Schippers,2017,59.32,57.14,66.67,91.67,45.45,66.67,75.0,87.5,85.71
